INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=100, initial='False', learning_rate=1e-05, model='KVAE', save_every=10, scale=0.3, subdirectory='v1/finetuned3', x_dim=1, z_dim=4)
INFO:root:Loaded State Dict from saves/BouncingBall/kvae/v1/finetuned2/scale=0.3/kvae_state_dict_scale=0.3_199.pth.
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:512.52798275, 477.48836678, 366.47031417, -2.81115167, 141.65516390
INFO:root:511.91862617, 475.45542354, 366.48755524, -2.79443693, 140.98995680
INFO:root:511.99288131, 475.73960692, 366.53487382, -2.73611885, 141.06854627
INFO:root:511.80156332, 474.70484020, 366.71706259, -2.67304369, 140.75190191
INFO:root:511.98890268, 475.21989723, 366.76325726, -2.65967010, 140.94820166
INFO:root:511.69297186, 474.20520136, 366.79171170, -2.63969419, 140.62924525
INFO:root:511.68670799, 473.77094458, 366.95234807, -2.60307077, 140.52065224
INFO:root:511.78074692, 474.21245249, 366.97113562, -2.54586925, 140.67706600
INFO:root:511.83653582, 473.72857569, 367.21421532, -2.50374085, 140.47787087
INFO:root:511.74657741, 473.72456700, 367.18018608, -2.44901528, 140.50361313
INFO:root:511.45168780, 472.40273620, 367.32926795, -2.40159232, 140.09276187
INFO:root:511.39460737, 471.90728235, 367.42574373, -2.39667265, 139.91754928
INFO:root:511.57698769, 472.72119685, 367.43267939, -2.32794151, 140.19556199
INFO:root:511.56011961, 472.13189794, 367.59512640, -2.32541630, 139.99909011
INFO:root:511.57475142, 472.80207018, 367.45638086, -2.27774424, 140.29011545
INFO:root:511.32651115, 470.97623711, 367.82069348, -2.21294261, 139.64321793
INFO:root:511.22782866, 470.91700055, 367.71894924, -2.23377298, 139.69659064
INFO:root:511.72220094, 472.13214111, 367.94988800, -2.13266548, 140.03025147
INFO:root:511.46165340, 471.59524089, 367.86236864, -2.12070675, 139.90715834
INFO:root:511.28927944, 470.70872857, 367.99624867, -2.08040567, 139.63184634
INFO:root:511.15661915, 470.28473989, 368.02098890, -2.05020261, 139.46011800
INFO:root:511.16751745, 470.20341657, 368.07540038, -2.03108561, 139.45137315
INFO:root:511.19009919, 470.45682929, 368.07889027, -1.97415370, 139.53883148
INFO:root:511.51987890, 470.83797479, 368.30132162, -1.96715813, 139.62930249
INFO:root:510.97167884, 469.67874301, 368.14071364, -1.92733699, 139.24328808
INFO:root:511.33383862, 470.35683291, 368.31073756, -1.91604540, 139.52210571
INFO:root:510.94276380, 469.32345328, 368.35623111, -1.78948995, 139.15100768
INFO:root:511.48209758, 470.76485331, 368.42172397, -1.83091174, 139.65877431
INFO:root:510.93035782, 468.41856180, 368.58855152, -1.81623238, 138.89815546
INFO:root:510.98661915, 468.94615902, 368.54412317, -1.75864196, 139.02820466
INFO:root:511.16256417, 469.23101554, 368.63170784, -1.76154629, 139.15048830
