INFO:root:Namespace(batch_size=50, beta=2.0, clip=10, device=device(type='cuda'), epochs=300, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=3, save_every=1, version='v0', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 300 epochs.
INFO:root:Train Loss, KLD, Reconstruction Loss
INFO:root:755666.939, 1261.070, 377202.936
INFO:root:656457.538, 2235.748, 327110.895
INFO:root:516911.144, 10472.069, 253219.538
INFO:root:410016.831, 12827.741, 198594.545
INFO:root:388877.207, 12212.047, 188332.580
INFO:root:378273.866, 12433.919, 182919.973
INFO:root:368569.318, 12837.237, 177866.041
INFO:root:360751.768, 13021.062, 173865.353
INFO:root:355645.169, 12975.500, 171334.834
INFO:root:351190.542, 12931.787, 169129.378
INFO:root:346680.863, 12886.177, 166897.343
INFO:root:344335.791, 12905.296, 165715.248
INFO:root:341018.832, 12914.126, 164052.353
INFO:root:337907.585, 12917.856, 162494.865
INFO:root:334182.029, 12964.441, 160608.794
INFO:root:331439.964, 13129.631, 159155.166
INFO:root:328790.823, 13356.318, 157717.252
INFO:root:325306.789, 13576.897, 155864.946
INFO:root:322264.411, 13833.231, 154215.590
INFO:root:319691.727, 14056.534, 152817.596
INFO:root:316870.955, 14145.686, 151362.635
INFO:root:313978.489, 14215.559, 149881.465
INFO:root:310605.836, 14362.951, 148121.443
INFO:root:308907.070, 14456.664, 147225.203
INFO:root:305517.425, 14539.147, 145489.139
INFO:root:303393.102, 14512.326, 144440.388
INFO:root:301216.645, 14516.455, 143350.095
INFO:root:298881.737, 14506.885, 142187.426
INFO:root:297051.587, 14552.555, 141249.516
INFO:root:293801.532, 14471.511, 139665.011
INFO:root:292553.994, 14346.895, 139103.550
INFO:root:290347.616, 14345.962, 138000.828
INFO:root:288283.027, 14359.707, 136961.660
INFO:root:286515.433, 14369.978, 136072.727
INFO:root:284915.349, 14411.158, 135252.096
INFO:root:283259.131, 14425.923, 134416.605
INFO:root:281773.448, 14402.005, 133685.722
INFO:root:278880.359, 14457.691, 132211.334
INFO:root:277392.450, 14435.204, 131478.623
INFO:root:276188.563, 14440.268, 130874.148
INFO:root:274267.482, 14450.184, 129908.648
INFO:root:274306.991, 14391.645, 129957.673
INFO:root:271904.298, 14406.547, 128748.876
INFO:root:271133.873, 14415.012, 128359.430
INFO:root:269901.630, 14395.198, 127753.215
INFO:root:267136.450, 14422.604, 126356.923
INFO:root:265645.137, 14466.536, 125589.301
INFO:root:264298.872, 14465.694, 124916.589
INFO:root:262711.727, 14454.052, 124128.837
INFO:root:262053.144, 14445.560, 123803.792
INFO:root:260654.584, 14476.986, 123088.799
INFO:root:258733.407, 14509.380, 122112.014
INFO:root:257816.128, 14497.104, 121659.512
INFO:root:255579.894, 14481.265, 120549.314
INFO:root:254539.416, 14488.478, 120025.469
INFO:root:254046.275, 14506.251, 119770.012
INFO:root:251970.323, 14525.555, 118722.384
INFO:root:250143.188, 14511.703, 117815.742
