INFO:root:Namespace(batch_size=50, beta=1.0, clip=10, device=device(type='cuda'), epochs=1000, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=3, save_every=1, version='v0', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 1000 epochs.
INFO:root:Train Loss, KLD, Reconstruction Loss
INFO:root:375883.955, 780.620, 375103.336
INFO:root:337687.346, 149.733, 337537.613
INFO:root:277079.929, 5711.533, 271368.395
INFO:root:211367.024, 8550.755, 202816.269
INFO:root:198190.504, 8274.345, 189916.158
INFO:root:192483.943, 8418.923, 184065.020
INFO:root:188769.150, 8600.759, 180168.391
INFO:root:186765.073, 8624.320, 178140.753
INFO:root:184670.743, 8641.989, 176028.754
INFO:root:182626.064, 8737.257, 173888.807
INFO:root:180863.961, 8804.690, 172059.271
INFO:root:178883.173, 8755.184, 170127.988
INFO:root:177585.349, 8719.849, 168865.499
INFO:root:176378.818, 8700.473, 167678.345
INFO:root:174868.063, 8681.703, 166186.360
INFO:root:173435.819, 8636.632, 164799.187
INFO:root:172045.058, 8538.110, 163506.947
INFO:root:171475.389, 8427.337, 163048.052
INFO:root:169642.266, 8424.538, 161217.728
INFO:root:168738.214, 8450.245, 160287.970
INFO:root:167659.628, 8486.612, 159173.017
INFO:root:166597.272, 8534.867, 158062.405
INFO:root:165319.248, 8534.690, 156784.558
INFO:root:163864.018, 8387.801, 155476.217
INFO:root:162334.486, 8204.259, 154130.227
INFO:root:161022.660, 8121.707, 152900.952
INFO:root:160136.349, 8051.996, 152084.353
INFO:root:158775.337, 7981.866, 150793.471
INFO:root:157234.073, 7946.346, 149287.727
INFO:root:156298.586, 7951.141, 148347.444
INFO:root:155292.726, 7937.072, 147355.655
INFO:root:153800.258, 7935.315, 145864.942
INFO:root:152729.149, 7997.237, 144731.913
INFO:root:151986.226, 7997.174, 143989.052
INFO:root:150706.278, 7998.709, 142707.569
INFO:root:149446.737, 8017.372, 141429.365
INFO:root:148295.256, 8017.717, 140277.538
INFO:root:147166.273, 8055.827, 139110.445
