INFO:root:Namespace(batch_size=50, beta=1.0, clip=10, device=device(type='cuda'), epochs=300, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=3, save_every=1, version='v0', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 300 epochs.
INFO:root:Train Loss, KLD, Reconstruction Loss
INFO:root:375875.613, 783.177, 375092.435
INFO:root:337669.577, 156.160, 337513.417
INFO:root:271039.925, 6090.108, 264949.816
INFO:root:208832.110, 8593.328, 200238.781
INFO:root:198915.652, 8312.131, 190603.521
INFO:root:194310.692, 8311.283, 185999.409
INFO:root:190531.262, 8573.436, 181957.826
INFO:root:187945.199, 8719.491, 179225.708
INFO:root:185286.023, 8959.705, 176326.318
INFO:root:182433.567, 9211.689, 173221.877
INFO:root:180623.358, 9338.418, 171284.939
INFO:root:178878.497, 9378.047, 169500.450
INFO:root:177424.820, 9392.087, 168032.733
INFO:root:176102.167, 9365.986, 166736.182
INFO:root:174607.311, 9359.111, 165248.200
INFO:root:173464.924, 9306.067, 164158.857
INFO:root:172335.105, 9106.583, 163228.522
INFO:root:171288.922, 8847.091, 162441.832
INFO:root:169851.174, 8755.306, 161095.868
INFO:root:168891.762, 8680.964, 160210.798
INFO:root:167299.981, 8690.797, 158609.184
INFO:root:166216.324, 8783.068, 157433.256
INFO:root:165089.510, 8890.882, 156198.629
INFO:root:164147.568, 8899.746, 155247.822
INFO:root:162563.316, 8939.048, 153624.267
INFO:root:161700.973, 8947.656, 152753.317
INFO:root:160825.483, 9018.298, 151807.184
INFO:root:160150.582, 9046.331, 151104.251
INFO:root:158859.206, 9111.873, 149747.334
INFO:root:158175.013, 9131.251, 149043.762
INFO:root:157315.517, 9172.365, 148143.152
INFO:root:156193.997, 9161.451, 147032.546
INFO:root:154899.867, 9164.429, 145735.438
INFO:root:153906.701, 9094.594, 144812.107
INFO:root:153305.687, 9041.554, 144264.133
INFO:root:152114.349, 8933.251, 143181.098
INFO:root:151445.426, 8901.045, 142544.381
INFO:root:150099.172, 8868.988, 141230.184
INFO:root:148955.825, 8890.793, 140065.031
INFO:root:148147.489, 8871.751, 139275.738
INFO:root:147097.662, 8858.344, 138239.318
INFO:root:146392.386, 8859.259, 137533.126
INFO:root:145454.866, 8851.121, 136603.744
INFO:root:144301.772, 8835.357, 135466.416
INFO:root:143324.793, 8828.409, 134496.385
INFO:root:142766.214, 8817.929, 133948.285
INFO:root:141803.994, 8815.621, 132988.373
INFO:root:140434.835, 8816.299, 131618.536
INFO:root:139928.570, 8764.092, 131164.478
INFO:root:139076.967, 8757.747, 130319.220
INFO:root:138039.907, 8758.045, 129281.862
INFO:root:137442.771, 8718.415, 128724.356
INFO:root:136799.941, 8709.968, 128089.973
INFO:root:135835.446, 8692.338, 127143.110
INFO:root:134649.201, 8687.593, 125961.608
INFO:root:134356.789, 8689.935, 125666.853
INFO:root:133193.287, 8659.062, 124534.225
INFO:root:132553.212, 8655.992, 123897.221
INFO:root:131604.181, 8664.612, 122939.569
INFO:root:131247.002, 8648.809, 122598.193
INFO:root:131160.115, 8652.925, 122507.190
INFO:root:129778.027, 8643.899, 121134.128
INFO:root:129258.898, 8637.326, 120621.571
INFO:root:128542.621, 8659.356, 119883.264
INFO:root:127646.978, 8640.311, 119006.667
INFO:root:126996.226, 8662.053, 118334.172
INFO:root:126180.390, 8661.179, 117519.211
INFO:root:125943.777, 8652.287, 117291.490
INFO:root:125379.065, 8644.763, 116734.303
INFO:root:124693.689, 8637.041, 116056.649
INFO:root:124472.651, 8638.890, 115833.761
INFO:root:123379.428, 8647.016, 114732.412
INFO:root:123678.323, 8611.066, 115067.257
INFO:root:122234.972, 8616.422, 113618.549
INFO:root:121810.368, 8633.544, 113176.824
INFO:root:121078.118, 8615.571, 112462.548
INFO:root:120944.363, 8624.214, 112320.148
INFO:root:120243.989, 8625.622, 111618.367
INFO:root:119761.012, 8626.736, 111134.276
INFO:root:119926.347, 8635.605, 111290.742
INFO:root:118801.336, 8614.164, 110187.173
INFO:root:118626.642, 8621.828, 110004.813
INFO:root:118263.882, 8606.848, 109657.034
INFO:root:117468.612, 8620.716, 108847.896
INFO:root:117079.119, 8606.377, 108472.742
INFO:root:116449.042, 8607.509, 107841.533
INFO:root:116091.228, 8605.589, 107485.639
INFO:root:115899.104, 8590.954, 107308.150
INFO:root:115401.614, 8581.112, 106820.502
INFO:root:115106.374, 8596.226, 106510.148
INFO:root:114708.377, 8579.352, 106129.025
INFO:root:114456.159, 8560.370, 105895.789
INFO:root:114252.765, 8575.868, 105676.897
INFO:root:113692.133, 8539.983, 105152.150
INFO:root:113156.825, 8562.837, 104593.988
INFO:root:112726.199, 8556.113, 104170.086
INFO:root:112185.566, 8558.094, 103627.472
INFO:root:112022.047, 8535.303, 103486.745
INFO:root:111398.214, 8517.352, 102880.862
INFO:root:111325.423, 8520.098, 102805.324
INFO:root:111132.544, 8515.696, 102616.848
INFO:root:111111.119, 8505.976, 102605.143
INFO:root:110706.530, 8499.992, 102206.538
INFO:root:110330.853, 8483.552, 101847.301
INFO:root:110286.080, 8497.162, 101788.918
INFO:root:110049.577, 8499.016, 101550.561
INFO:root:109072.583, 8499.075, 100573.509
INFO:root:108787.558, 8497.415, 100290.143
INFO:root:108665.779, 8459.743, 100206.036
INFO:root:108886.490, 8459.504, 100426.986
INFO:root:108012.945, 8453.017, 99559.929
INFO:root:108002.292, 8476.813, 99525.479
INFO:root:108138.183, 8440.247, 99697.936
INFO:root:107460.624, 8432.321, 99028.304
INFO:root:107078.375, 8441.587, 98636.787
INFO:root:106907.398, 8436.877, 98470.521
INFO:root:106145.516, 8435.957, 97709.560
