INFO:root:Namespace(batch_size=50, beta=3.0, clip=10, device=device(type='cuda'), epochs=1000, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=1, save_every=100, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 1000 epochs.
INFO:root:Train Loss, KLD, Reconstruction Loss
INFO:root:370115.166, 143.379, 369685.030
INFO:root:228966.771, 663.594, 226975.989
INFO:root:197167.815, 859.027, 194590.734
INFO:root:188335.958, 1083.922, 185084.192
INFO:root:182229.428, 1345.974, 178191.508
INFO:root:177122.676, 1605.189, 172307.108
INFO:root:172757.554, 1829.007, 167270.532
INFO:root:168577.304, 2016.162, 162528.817
INFO:root:165361.797, 2140.344, 158940.764
INFO:root:162606.112, 2243.125, 155876.739
INFO:root:159895.763, 2330.540, 152904.143
INFO:root:157608.069, 2403.689, 150397.003
INFO:root:155585.550, 2447.417, 148243.299
INFO:root:153904.838, 2467.715, 146501.692
INFO:root:151825.489, 2520.859, 144262.912
INFO:root:150418.153, 2543.395, 142787.967
INFO:root:148815.330, 2574.882, 141090.683
INFO:root:147525.736, 2594.669, 139741.728
INFO:root:145804.919, 2615.773, 137957.600
INFO:root:144719.980, 2642.161, 136793.498
INFO:root:143329.705, 2653.915, 135367.961
INFO:root:142274.461, 2660.245, 134293.727
INFO:root:140996.554, 2676.243, 132967.827
INFO:root:139981.329, 2683.140, 131931.909
INFO:root:139151.998, 2679.707, 131112.877
INFO:root:138096.188, 2688.956, 130029.321
INFO:root:136980.421, 2695.713, 128893.283
INFO:root:136178.366, 2696.000, 128090.368
INFO:root:135174.705, 2706.630, 127054.815
INFO:root:134250.506, 2714.632, 126106.611
INFO:root:133435.054, 2706.831, 125314.562
INFO:root:132742.391, 2715.609, 124595.562
INFO:root:131776.862, 2721.535, 123612.256
INFO:root:131549.464, 2702.907, 123440.743
INFO:root:130239.158, 2710.399, 122107.962
INFO:root:129809.085, 2702.632, 121701.189
INFO:root:129371.112, 2710.741, 121238.889
INFO:root:128367.324, 2704.474, 120253.903
INFO:root:127725.016, 2711.548, 119590.374
INFO:root:126934.689, 2699.563, 118835.999
INFO:root:126476.339, 2695.724, 118389.168
INFO:root:126272.174, 2687.142, 118210.748
INFO:root:125593.446, 2676.927, 117562.665
INFO:root:124817.760, 2681.718, 116772.608
INFO:root:124064.101, 2672.794, 116045.718
INFO:root:123714.106, 2670.503, 115702.598
INFO:root:123122.545, 2670.649, 115110.598
INFO:root:122905.018, 2657.601, 114932.214
INFO:root:122020.194, 2642.017, 114094.144
INFO:root:121669.488, 2639.799, 113750.091
INFO:root:121416.425, 2632.926, 113517.646
INFO:root:120868.002, 2616.937, 113017.192
INFO:root:120537.510, 2613.356, 112697.442
INFO:root:119822.999, 2605.330, 112007.010
INFO:root:119587.070, 2599.839, 111787.554
INFO:root:119092.183, 2594.731, 111307.990
INFO:root:118601.632, 2597.358, 110809.559
INFO:root:118259.586, 2567.819, 110556.130
INFO:root:117853.660, 2568.666, 110147.661
INFO:root:117207.038, 2570.179, 109496.501
INFO:root:117060.162, 2556.086, 109391.905
INFO:root:116749.082, 2552.134, 109092.679
INFO:root:116555.584, 2537.439, 108943.268
INFO:root:115801.324, 2523.985, 108229.369
INFO:root:115724.524, 2523.355, 108154.460
INFO:root:115197.652, 2514.420, 107654.393
INFO:root:114854.084, 2498.253, 107359.326
INFO:root:115052.499, 2493.264, 107572.707
INFO:root:113937.632, 2480.669, 106495.626
INFO:root:113908.807, 2475.441, 106482.483
INFO:root:113344.904, 2463.630, 105954.013
INFO:root:113128.091, 2463.136, 105738.683
INFO:root:113070.129, 2450.622, 105718.262
INFO:root:112504.358, 2445.987, 105166.398
INFO:root:112115.059, 2434.545, 104811.424
INFO:root:111772.391, 2421.965, 104506.496
INFO:root:111462.881, 2415.129, 104217.494
INFO:root:111331.789, 2413.626, 104090.911
INFO:root:111060.700, 2407.535, 103838.096
INFO:root:110859.586, 2393.611, 103678.753
INFO:root:110479.065, 2379.459, 103340.689
INFO:root:110312.559, 2370.113, 103202.219
INFO:root:109800.414, 2369.129, 102693.027
INFO:root:109626.747, 2359.311, 102548.815
INFO:root:109280.053, 2349.132, 102232.655
INFO:root:109184.761, 2350.204, 102134.150
INFO:root:108921.143, 2336.527, 101911.562
INFO:root:108741.753, 2329.256, 101753.985
INFO:root:108417.257, 2321.910, 101451.528
INFO:root:108356.997, 2320.242, 101396.272
INFO:root:107562.783, 2304.961, 100647.899
INFO:root:107570.837, 2306.763, 100650.547
INFO:root:107395.261, 2288.883, 100528.613
INFO:root:107303.760, 2286.538, 100444.147
INFO:root:106755.355, 2283.964, 99903.464
INFO:root:106654.125, 2270.990, 99841.154
INFO:root:106528.689, 2264.592, 99734.912
INFO:root:106450.619, 2262.923, 99661.849
INFO:root:106204.024, 2253.646, 99443.086
INFO:root:105856.017, 2247.515, 99113.473
INFO:root:105325.657, 2238.898, 98608.963
INFO:root:105134.151, 2231.598, 98439.357
INFO:root:105012.697, 2228.542, 98327.072
INFO:root:105048.267, 2224.055, 98376.101
INFO:root:104832.263, 2221.319, 98168.306
INFO:root:104513.912, 2219.143, 97856.482
INFO:root:104345.712, 2209.625, 97716.837
INFO:root:104293.451, 2201.949, 97687.604
INFO:root:103832.975, 2202.211, 97226.341
INFO:root:103695.107, 2187.933, 97131.309
INFO:root:103481.401, 2182.369, 96934.292
INFO:root:103354.143, 2177.941, 96820.321
INFO:root:103032.992, 2173.291, 96513.117
INFO:root:103086.006, 2163.684, 96594.955
INFO:root:103064.199, 2160.004, 96584.188
INFO:root:102789.552, 2159.303, 96311.642
INFO:root:102318.828, 2150.992, 95865.853
INFO:root:102305.554, 2149.342, 95857.529
INFO:root:102029.868, 2145.673, 95592.849
INFO:root:101808.328, 2135.857, 95400.757
INFO:root:101944.724, 2131.888, 95549.061
INFO:root:101586.772, 2129.129, 95199.386
INFO:root:101459.064, 2121.164, 95095.573
INFO:root:101264.604, 2124.594, 94890.822
INFO:root:101194.230, 2121.258, 94830.456
INFO:root:100986.790, 2109.232, 94659.093
INFO:root:101045.323, 2109.502, 94716.818
INFO:root:100848.552, 2102.568, 94540.848
INFO:root:100485.541, 2103.320, 94175.580
INFO:root:100115.568, 2095.339, 93829.551
INFO:root:100027.002, 2094.257, 93744.232
