INFO:root:Namespace(batch_size=52, beta_end=1.0, beta_start=0, clip=10, device=device(type='cuda'), epochs=200, learning_rate=1e-06, model='cdna', save_every=25, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/sv2p_state_dict_99.pth
INFO:root:Starting SV2P training on Stage 3 for 200 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:176.34170962, 1.50973515, 175.65101702, 0.46000000
INFO:root:176.50910441, 1.48679868, 175.82146936, 0.46500000
INFO:root:176.74275690, 1.46582283, 176.05749205, 0.47000000
INFO:root:176.37146364, 1.44375202, 175.68929878, 0.47500000
INFO:root:176.46061215, 1.42329220, 175.78099656, 0.48000000
INFO:root:176.58816107, 1.40162093, 175.91188286, 0.48500000
INFO:root:176.49113263, 1.38098339, 175.81790933, 0.49000000
INFO:root:176.42979422, 1.35979894, 175.76010220, 0.49500000
INFO:root:176.26329847, 1.33985720, 175.59672678, 0.50000000
INFO:root:176.10912450, 1.31935059, 175.44615910, 0.50500000
INFO:root:176.51197780, 1.29939754, 175.85254283, 0.51000000
INFO:root:176.38686555, 1.28030111, 175.73071771, 0.51500000
INFO:root:176.63664237, 1.25995033, 175.98462502, 0.52000000
INFO:root:176.39175845, 1.24079456, 175.74345170, 0.52500000
INFO:root:176.47866909, 1.22115836, 175.83451563, 0.53000000
INFO:root:177.05015722, 1.20238377, 176.40989431, 0.53500000
INFO:root:176.82137614, 1.18328225, 176.18536710, 0.54000000
INFO:root:176.27857844, 1.16484612, 175.64665016, 0.54500000
INFO:root:176.43164440, 1.14585952, 175.80429507, 0.55000000
INFO:root:176.52441091, 1.12723786, 175.90162019, 0.55500000
INFO:root:176.56337940, 1.10915829, 175.94502855, 0.56000000
INFO:root:176.44936730, 1.09113485, 175.83561286, 0.56500000
INFO:root:176.57301795, 1.07342947, 175.96385079, 0.57000000
INFO:root:176.46166308, 1.05596635, 175.85712854, 0.57500000
INFO:root:176.73945960, 1.03840388, 176.13978866, 0.58000000
INFO:root:176.32589310, 1.02130972, 175.73098623, 0.58500000
INFO:root:176.34572066, 1.00426375, 175.75572240, 0.59000000
INFO:root:176.27991065, 0.98722846, 175.69498259, 0.59500000
INFO:root:176.45282912, 0.97100599, 175.87265620, 0.60000000
INFO:root:176.36956717, 0.95392162, 175.79483725, 0.60500000
INFO:root:176.28649990, 0.93776053, 175.71681880, 0.61000000
INFO:root:176.48131149, 0.92218915, 175.91647821, 0.61500000
INFO:root:176.67657997, 0.90599958, 176.11713339, 0.62000000
INFO:root:176.25763773, 0.89025119, 175.70346166, 0.62500000
INFO:root:176.19150026, 0.87399687, 175.64307404, 0.63000000
INFO:root:176.40655447, 0.85938304, 175.86299800, 0.63500000
INFO:root:176.31072086, 0.84361836, 175.77291888, 0.64000000
INFO:root:176.43654317, 0.82859567, 175.90417349, 0.64500000
INFO:root:176.12756313, 0.81383997, 175.60060786, 0.65000000
INFO:root:176.35412124, 0.79967443, 175.83233792, 0.65500000
INFO:root:176.19955874, 0.78545310, 175.68312844, 0.66000000
INFO:root:176.25894253, 0.77045761, 175.74851858, 0.66500000
INFO:root:176.27053237, 0.75617786, 175.76578846, 0.67000000
INFO:root:176.31472919, 0.74260962, 175.81532709, 0.67500000
INFO:root:176.10753062, 0.72844461, 175.61401525, 0.68000000
INFO:root:176.26671100, 0.71494769, 175.77876317, 0.68500000
INFO:root:176.35480508, 0.70095819, 175.87290095, 0.69000000
INFO:root:176.22789913, 0.68776499, 175.75162725, 0.69500000
INFO:root:176.16030279, 0.67487295, 175.68958519, 0.70000000
INFO:root:176.22269422, 0.66218878, 175.75751127, 0.70500000
INFO:root:175.96398487, 0.64875566, 175.50499567, 0.71000000
INFO:root:176.34035422, 0.63649537, 175.88685468, 0.71500000
INFO:root:176.16628002, 0.62397841, 175.71858154, 0.72000000
INFO:root:176.28380050, 0.61172984, 175.84183134, 0.72500000
INFO:root:175.89196944, 0.59922120, 175.45603974, 0.73000000
INFO:root:175.98181337, 0.58792584, 175.55116035, 0.73500000
INFO:root:176.07389525, 0.57533417, 175.64959006, 0.74000000
INFO:root:175.97915842, 0.56411553, 175.56030537, 0.74500000
INFO:root:176.15872569, 0.55281654, 175.74549962, 0.75000000
INFO:root:176.44798261, 0.54166734, 176.04038186, 0.75500000
INFO:root:175.97807417, 0.53052563, 175.57620406, 0.76000000
INFO:root:176.27139519, 0.51940815, 175.87534929, 0.76500000
INFO:root:176.17399825, 0.50823609, 175.78393090, 0.77000000
INFO:root:175.91739716, 0.49761716, 175.53299187, 0.77500000
INFO:root:176.17164814, 0.48755200, 175.79258018, 0.78000000
INFO:root:176.34461002, 0.47689875, 175.97143853, 0.78500000
INFO:root:176.08964381, 0.46720392, 175.72172336, 0.79000000
INFO:root:176.32388472, 0.45686834, 175.96182163, 0.79500000
INFO:root:175.93960501, 0.44712717, 175.58302298, 0.80000000
INFO:root:176.25986340, 0.43759448, 175.90869851, 0.80500000
INFO:root:175.85413641, 0.42836830, 175.50823317, 0.81000000
INFO:root:176.20866298, 0.41867191, 175.86849651, 0.81500000
INFO:root:176.13739084, 0.40965155, 175.80250225, 0.82000000
INFO:root:176.09216309, 0.40072299, 175.76257254, 0.82500000
INFO:root:175.87417918, 0.39181227, 175.54995622, 0.83000000
INFO:root:175.94970405, 0.38327013, 175.63063558, 0.83500000
INFO:root:175.93840009, 0.37458515, 175.62468711, 0.84000000
INFO:root:176.05737691, 0.36616979, 175.74888155, 0.84500000
INFO:root:176.02239105, 0.35794874, 175.71903343, 0.85000000
INFO:root:175.94627933, 0.34964739, 175.64820836, 0.85500000
INFO:root:175.82624247, 0.34173449, 175.53320821, 0.86000000
INFO:root:175.99501309, 0.33370957, 175.70719278, 0.86500000
INFO:root:175.92552746, 0.32621011, 175.64254129, 0.87000000
INFO:root:175.83989987, 0.31893589, 175.56163042, 0.87500000
INFO:root:176.02472292, 0.31165286, 175.75124982, 0.88000000
INFO:root:175.79207734, 0.30399722, 175.52380117, 0.88500000
INFO:root:175.92818048, 0.29703388, 175.66456385, 0.89000000
INFO:root:175.90789383, 0.29028991, 175.64881222, 0.89500000
