INFO:root:Namespace(batch_size=52, beta_end=0.001, beta_start=0.001, clip=10, device=device(type='cuda'), epochs=200, learning_rate=1e-08, model='cdna', save_every=25, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage3/final_beta=0.001/sv2p_cdna_state_dict_299.pth
INFO:root:Starting SV2P training on Stage 3 for 200 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:154.29731549, 0.03592500, 154.29728295, 0.00100000
INFO:root:154.16369655, 0.03599303, 154.16366393, 0.00100000
INFO:root:154.40119066, 0.03579830, 154.40115848, 0.00100000
INFO:root:154.52451965, 0.03591197, 154.52448729, 0.00100000
INFO:root:154.26597902, 0.03578847, 154.26594693, 0.00100000
INFO:root:154.24005802, 0.03586270, 154.24002522, 0.00100000
INFO:root:154.40729137, 0.03581896, 154.40725901, 0.00100000
INFO:root:154.33680339, 0.03584064, 154.33677059, 0.00100000
INFO:root:154.25662801, 0.03577481, 154.25659592, 0.00100000
INFO:root:154.21073256, 0.03584143, 154.21070029, 0.00100000
INFO:root:154.08863002, 0.03580365, 154.08859770, 0.00100000
INFO:root:154.46251100, 0.03575505, 154.46247899, 0.00100000
INFO:root:154.36938468, 0.03599863, 154.36935206, 0.00100000
INFO:root:154.56194086, 0.03593144, 154.56190885, 0.00100000
INFO:root:154.36972563, 0.03581097, 154.36969336, 0.00100000
INFO:root:154.51649677, 0.03584096, 154.51646485, 0.00100000
INFO:root:154.55415441, 0.03590942, 154.55412214, 0.00100000
INFO:root:154.56962770, 0.03592685, 154.56959490, 0.00100000
INFO:root:154.16121367, 0.03580224, 154.16118118, 0.00100000
INFO:root:154.29252800, 0.03578482, 154.29249608, 0.00100000
INFO:root:154.41421675, 0.03583989, 154.41418475, 0.00100000
INFO:root:154.39895568, 0.03574827, 154.39892385, 0.00100000
INFO:root:154.36934960, 0.03586671, 154.36931768, 0.00100000
INFO:root:154.53525456, 0.03575864, 154.53522255, 0.00100000
INFO:root:154.48067887, 0.03578852, 154.48064677, 0.00100000
INFO:root:154.72460385, 0.03584227, 154.72457167, 0.00100000
INFO:root:154.33237457, 0.03578207, 154.33234256, 0.00100000
INFO:root:154.30258065, 0.03584617, 154.30254820, 0.00100000
INFO:root:154.31812725, 0.03573016, 154.31809550, 0.00100000
INFO:root:154.43920767, 0.03590680, 154.43917540, 0.00100000
INFO:root:154.28372447, 0.03570557, 154.28369237, 0.00100000
INFO:root:154.29762373, 0.03575899, 154.29759181, 0.00100000
INFO:root:154.47414398, 0.03587507, 154.47411162, 0.00100000
INFO:root:154.70988815, 0.03586397, 154.70985597, 0.00100000
INFO:root:154.20630812, 0.03574591, 154.20627616, 0.00100000
INFO:root:154.22274276, 0.03567976, 154.22271097, 0.00100000
INFO:root:154.39147151, 0.03581893, 154.39143898, 0.00100000
INFO:root:154.36292004, 0.03568991, 154.36288812, 0.00100000
INFO:root:154.50191270, 0.03567010, 154.50188078, 0.00100000
INFO:root:154.20884301, 0.03565851, 154.20881118, 0.00100000
INFO:root:154.43991036, 0.03574596, 154.43987844, 0.00100000
INFO:root:154.31725943, 0.03590345, 154.31722654, 0.00100000
INFO:root:154.38227099, 0.03573603, 154.38223880, 0.00100000
INFO:root:154.40026163, 0.03572019, 154.40023006, 0.00100000
INFO:root:154.46078991, 0.03581665, 154.46075825, 0.00100000
INFO:root:154.25193427, 0.03571606, 154.25190200, 0.00100000
INFO:root:154.44046915, 0.03569327, 154.44043705, 0.00100000
INFO:root:154.44060183, 0.03563652, 154.44057017, 0.00100000
INFO:root:154.36721679, 0.03557466, 154.36718513, 0.00100000
INFO:root:154.30394543, 0.03567394, 154.30391290, 0.00100000
INFO:root:154.31465210, 0.03578358, 154.31462009, 0.00100000
INFO:root:154.13487757, 0.03567393, 154.13484591, 0.00100000
INFO:root:154.54134956, 0.03580174, 154.54131721, 0.00100000
INFO:root:154.33000078, 0.03573398, 154.32996912, 0.00100000
INFO:root:154.47384687, 0.03567607, 154.47381539, 0.00100000
INFO:root:154.08719166, 0.03566392, 154.08716004, 0.00100000
INFO:root:154.15929948, 0.03576961, 154.15926725, 0.00100000
INFO:root:154.28537487, 0.03561263, 154.28534295, 0.00100000
INFO:root:154.20549980, 0.03571443, 154.20546797, 0.00100000
INFO:root:154.45010946, 0.03570963, 154.45007754, 0.00100000
INFO:root:154.63130819, 0.03581796, 154.63127627, 0.00100000
INFO:root:154.19101193, 0.03586340, 154.19097971, 0.00100000
INFO:root:154.50409883, 0.03570229, 154.50406647, 0.00100000
INFO:root:154.43351947, 0.03562752, 154.43348729, 0.00100000
INFO:root:154.23832580, 0.03560950, 154.23829361, 0.00100000
INFO:root:154.51076288, 0.03568610, 154.51073079, 0.00100000
INFO:root:154.62993236, 0.03558452, 154.62990097, 0.00100000
INFO:root:154.38841423, 0.03577010, 154.38838187, 0.00100000
INFO:root:154.58343699, 0.03560511, 154.58340533, 0.00100000
