INFO:root:Namespace(batch_size=50, beta=2.0, clip=10, device=device(type='cuda'), epochs=300, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=1, save_every=1, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 300 epochs.
INFO:root:Train Loss, KLD, Reconstruction Loss
INFO:root:766853.845, 2795.166, 382029.339
INFO:root:523096.601, 2473.321, 260311.641
INFO:root:390921.700, 5883.274, 192519.213
INFO:root:365732.886, 7105.933, 179313.477
INFO:root:346231.446, 7960.375, 169135.536
INFO:root:330402.730, 8691.254, 160855.737
INFO:root:317489.298, 9225.912, 154131.693
INFO:root:306359.495, 9689.624, 148334.935
INFO:root:297919.771, 10039.151, 143940.310
INFO:root:290325.742, 10453.402, 139936.170
INFO:root:284581.277, 10733.558, 136923.860
INFO:root:277905.147, 10997.281, 133453.933
INFO:root:274165.603, 11119.051, 131523.277
INFO:root:269000.607, 11303.496, 128848.556
INFO:root:264904.353, 11449.360, 126727.497
INFO:root:260891.120, 11537.106, 124677.007
INFO:root:257375.237, 11697.579, 122838.829
INFO:root:254305.572, 11804.282, 121250.645
INFO:root:250742.504, 11904.379, 119419.062
INFO:root:248413.259, 11980.047, 118216.606
INFO:root:245723.917, 12022.431, 116850.743
INFO:root:242141.555, 12133.354, 115004.100
INFO:root:239675.108, 12218.375, 113728.366
INFO:root:237676.741, 12279.690, 112698.526
INFO:root:235699.134, 12314.158, 111692.488
INFO:root:234050.527, 12371.763, 110839.382
INFO:root:231398.485, 12428.984, 109484.750
INFO:root:230031.022, 12462.527, 108784.247
INFO:root:227782.333, 12504.827, 107638.753
INFO:root:226349.108, 12547.221, 106900.944
INFO:root:224609.297, 12573.981, 106017.658
INFO:root:223585.518, 12624.432, 105480.543
INFO:root:221382.244, 12651.947, 104365.149
INFO:root:219789.323, 12715.849, 103536.737
INFO:root:218983.380, 12695.992, 103143.694
INFO:root:217113.269, 12746.686, 102183.291
INFO:root:216063.099, 12762.735, 101650.182
INFO:root:214696.581, 12783.750, 100956.416
INFO:root:212656.011, 12841.542, 99907.234
INFO:root:212255.824, 12838.723, 99708.551
INFO:root:211720.890, 12847.943, 99436.474
INFO:root:210627.073, 12883.314, 98871.880
INFO:root:208877.475, 12881.657, 97997.909
INFO:root:208988.483, 12904.673, 98041.905
INFO:root:206304.555, 12931.402, 96686.577
INFO:root:206133.310, 12948.503, 96592.403
INFO:root:204872.846, 12976.087, 95948.379
INFO:root:203986.411, 12962.590, 95511.911
