INFO:root:Namespace(batch_size=50, beta=5.0, clip=10, device=device(type='cuda'), epochs=150, hdim=1024, learning_rate=0.0001, model='VRNN', nlayers=1, save_every=100, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 150 epochs.
INFO:root:Train Loss, KLD, Reconstruction Loss
INFO:root:509271.882, 1216.372, 503190.021
INFO:root:328341.530, 466.663, 326008.217
INFO:root:249446.968, 1093.203, 243980.957
INFO:root:220682.804, 1136.540, 215000.102
INFO:root:209208.125, 1047.183, 203972.209
INFO:root:203623.402, 998.449, 198631.156
INFO:root:200112.436, 988.315, 195170.859
INFO:root:197544.323, 991.708, 192585.786
INFO:root:195495.709, 1006.339, 190464.013
INFO:root:193688.015, 1030.864, 188533.697
INFO:root:191914.666, 1046.622, 186681.555
INFO:root:190458.666, 1071.084, 185103.247
INFO:root:188915.185, 1098.333, 183423.520
INFO:root:187459.239, 1123.943, 181839.524
INFO:root:186002.588, 1152.283, 180241.174
INFO:root:184515.404, 1183.963, 178595.586
INFO:root:183061.318, 1215.191, 176985.363
INFO:root:181647.804, 1248.819, 175403.707
INFO:root:180006.234, 1269.993, 173656.268
INFO:root:178457.848, 1309.087, 171912.413
INFO:root:177065.799, 1342.421, 170353.695
INFO:root:175222.458, 1363.181, 168406.556
INFO:root:173704.265, 1394.210, 166733.215
INFO:root:172304.408, 1426.000, 165174.406
INFO:root:170796.243, 1448.191, 163555.290
INFO:root:169341.387, 1467.614, 162003.319
INFO:root:168172.799, 1496.295, 160691.322
INFO:root:166899.097, 1509.179, 159353.201
INFO:root:165698.869, 1531.366, 158042.039
INFO:root:164639.685, 1555.098, 156864.196
INFO:root:163413.060, 1564.406, 155591.029
INFO:root:162520.614, 1584.517, 154598.029
INFO:root:161390.252, 1592.788, 153426.314
INFO:root:160506.024, 1604.490, 152483.575
INFO:root:159595.861, 1623.450, 151478.612
INFO:root:158622.872, 1626.345, 150491.147
INFO:root:157748.406, 1641.319, 149541.813
INFO:root:156853.561, 1649.302, 148607.051
INFO:root:155952.267, 1659.329, 147655.623
INFO:root:155128.343, 1670.936, 146773.665
INFO:root:154368.854, 1676.671, 145985.501
INFO:root:153547.321, 1685.652, 145119.058
INFO:root:152830.720, 1693.978, 144360.829
INFO:root:152056.076, 1698.083, 143565.661
INFO:root:151138.727, 1702.187, 142627.792
INFO:root:150460.103, 1704.155, 141939.329
INFO:root:149690.912, 1711.553, 141133.149
INFO:root:149083.532, 1722.270, 140472.182
INFO:root:148274.793, 1718.027, 139684.659
INFO:root:147390.106, 1715.911, 138810.552
INFO:root:146843.852, 1730.895, 138189.378
INFO:root:146357.496, 1733.991, 137687.542
INFO:root:145495.043, 1730.926, 136840.411
INFO:root:144851.052, 1729.451, 136203.795
INFO:root:144116.917, 1733.631, 135448.761
INFO:root:143527.644, 1733.040, 134862.446
INFO:root:142858.331, 1732.825, 134194.206
INFO:root:142347.859, 1736.516, 133665.279
INFO:root:141768.913, 1737.604, 133080.893
INFO:root:140975.916, 1736.885, 132291.493
INFO:root:140511.338, 1738.694, 131817.866
INFO:root:139887.043, 1738.401, 131195.040
INFO:root:139252.058, 1736.025, 130571.933
INFO:root:138592.050, 1735.678, 129913.658
INFO:root:138157.782, 1735.081, 129482.380
INFO:root:137459.872, 1731.345, 128803.146
INFO:root:136907.360, 1727.984, 128267.442
INFO:root:136254.057, 1729.301, 127607.551
INFO:root:135716.028, 1725.668, 127087.690
INFO:root:135188.459, 1727.746, 126549.731
INFO:root:134587.475, 1714.080, 126017.074
INFO:root:134199.651, 1718.255, 125608.376
INFO:root:133490.137, 1711.675, 124931.762
INFO:root:132968.689, 1709.078, 124423.297
INFO:root:132542.335, 1706.891, 124007.881
INFO:root:131995.389, 1703.317, 123478.805
INFO:root:131423.655, 1694.997, 122948.672
INFO:root:130919.202, 1690.082, 122468.793
INFO:root:130288.267, 1679.082, 121892.859
INFO:root:129792.850, 1681.445, 121385.626
INFO:root:129333.185, 1675.279, 120956.788
INFO:root:128855.261, 1671.233, 120499.096
INFO:root:128257.715, 1661.817, 119948.631
INFO:root:127810.358, 1662.089, 119499.911
INFO:root:127341.349, 1652.934, 119076.678
INFO:root:126736.748, 1650.748, 118483.008
INFO:root:126467.506, 1645.677, 118239.122
INFO:root:126052.463, 1641.709, 117843.919
INFO:root:125262.023, 1629.177, 117116.140
INFO:root:124974.625, 1629.966, 116824.794
INFO:root:124380.491, 1618.229, 116289.345
INFO:root:123773.319, 1615.117, 115697.736
INFO:root:123476.628, 1611.550, 115418.879
INFO:root:123034.359, 1602.911, 115019.804
INFO:root:122598.736, 1603.272, 114582.373
INFO:root:122035.245, 1594.560, 114062.445
INFO:root:121534.127, 1584.444, 113611.907
INFO:root:121243.250, 1585.580, 113315.352
INFO:root:120781.394, 1577.904, 112891.871
INFO:root:120165.289, 1572.828, 112301.148
INFO:root:119766.279, 1565.448, 111939.038
INFO:root:119573.385, 1561.976, 111763.505
INFO:root:119008.972, 1561.101, 111203.465
INFO:root:118457.285, 1554.087, 110686.850
