INFO:root:Namespace(batch_size=52, beta_end=0.001, beta_start=0, clip=10, device=device(type='cuda'), epochs=300, learning_rate=1e-06, model='cdna', save_every=25, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/finetuned2/sv2p_cdna_state_dict_199.pth
INFO:root:Starting SV2P training on Stage 3 for 300 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:154.22128042, 1.51582098, 154.22081849, 0.00030667
INFO:root:154.43258562, 1.49280951, 154.43212575, 0.00031000
INFO:root:154.57750193, 1.47177876, 154.57704320, 0.00031333
INFO:root:154.30665843, 1.44964463, 154.30620163, 0.00031667
INFO:root:154.29777220, 1.42913676, 154.29731733, 0.00032000
INFO:root:154.45082057, 1.40739355, 154.45036798, 0.00032333
INFO:root:154.35658869, 1.38670634, 154.35613812, 0.00032667
INFO:root:154.29288246, 1.36545790, 154.29243425, 0.00033000
INFO:root:154.27556167, 1.34546880, 154.27511579, 0.00033333
INFO:root:154.11403441, 1.32491248, 154.11359055, 0.00033667
INFO:root:154.48758803, 1.30491084, 154.48714614, 0.00034000
INFO:root:154.43473421, 1.28576795, 154.43429530, 0.00034333
INFO:root:154.61121859, 1.26535841, 154.61078223, 0.00034667
INFO:root:154.42368474, 1.24617050, 154.42325031, 0.00035000
INFO:root:154.57158564, 1.22647881, 154.57115419, 0.00035333
INFO:root:154.60957626, 1.20766306, 154.60914726, 0.00035667
INFO:root:154.63190223, 1.18850547, 154.63147665, 0.00036000
INFO:root:154.19497790, 1.17001926, 154.19455430, 0.00036333
INFO:root:154.35862504, 1.15098102, 154.35820419, 0.00036667
INFO:root:154.48164017, 1.13230703, 154.48122292, 0.00037000
INFO:root:154.45015848, 1.11417264, 154.44974518, 0.00037333
INFO:root:154.40786594, 1.09609611, 154.40745571, 0.00037667
INFO:root:154.59528719, 1.07834185, 154.59487941, 0.00038000
INFO:root:154.48921923, 1.06083627, 154.48881382, 0.00038333
INFO:root:154.77789473, 1.04321485, 154.77749292, 0.00038667
INFO:root:154.38381265, 1.02607741, 154.38341382, 0.00039000
INFO:root:154.37267321, 1.00898256, 154.37227762, 0.00039333
INFO:root:154.36306921, 0.99190016, 154.36267695, 0.00039667
INFO:root:154.50365501, 0.97563595, 154.50326652, 0.00040000
INFO:root:154.34711000, 0.95850645, 154.34672546, 0.00040333
INFO:root:154.35081043, 0.94230322, 154.35042870, 0.00040667
INFO:root:154.56010735, 0.92668399, 154.55972869, 0.00041000
INFO:root:154.76999147, 0.91045655, 154.76961631, 0.00041333
INFO:root:154.26892642, 0.89466391, 154.26855513, 0.00041667
INFO:root:154.23817567, 0.87836143, 154.23780858, 0.00042000
INFO:root:154.45830790, 0.86371178, 154.45794423, 0.00042333
