INFO:root:Namespace(batch_size=52, beta_end=0.1, beta_start=0, clip=10, device=device(type='cuda'), epochs=100, learning_rate=0.0001, model='cdna', save_every=100, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/sv2p_state_dict_99.pth
INFO:root:Starting SV2P training on Stage 3 for 100 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:171.79911414, 0.01842922, 171.79742953, 0.09200000
INFO:root:171.55971983, 0.01497393, 171.55833391, 0.09300000
INFO:root:171.97928356, 0.01798073, 171.97760325, 0.09400000
INFO:root:170.36932750, 0.01421687, 170.36798332, 0.09500000
INFO:root:170.61446223, 0.02299438, 170.61227075, 0.09600000
INFO:root:170.92798939, 0.01247764, 170.92678509, 0.09700000
INFO:root:171.27160443, 0.01535412, 171.27010854, 0.09800000
INFO:root:170.97688267, 0.01172558, 170.97572827, 0.09900000
INFO:root:172.09985606, 0.01381451, 172.09848163, 0.10000000
INFO:root:Finished training
INFO:root:Saved model. Final Checkpoint.
INFO:root:Completed 3 training
