INFO:root:Namespace(batch_size=52, beta_end=0.0001, beta_start=0, clip=10, device=device(type='cuda'), epochs=100, learning_rate=0.0001, model='cdna', save_every=100, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/sv2p_state_dict_99.pth
INFO:root:Starting SV2P training on Stage 3 for 100 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:172.66883701, 0.01873845, 172.66883666, 0.00009200
INFO:root:172.93386078, 0.01374668, 172.93386078, 0.00009300
INFO:root:172.00469962, 0.01472836, 172.00469962, 0.00009400
INFO:root:172.04890959, 0.01365363, 172.04890959, 0.00009500
INFO:root:171.00155508, 0.01852084, 171.00155491, 0.00009600
INFO:root:170.85503379, 0.01268514, 170.85503379, 0.00009700
INFO:root:170.91777951, 0.01379725, 170.91777951, 0.00009800
INFO:root:174.84891212, 0.01305222, 174.84891212, 0.00009900
INFO:root:182.42243738, 0.01472797, 182.42243738, 0.00010000
INFO:root:Finished training
INFO:root:Saved model. Final Checkpoint.
INFO:root:Completed 3 training
