INFO:root:Namespace(batch_size=50, beta=1.0, clip=10, device=device(type='cuda'), epochs=150, hdim=64, learning_rate=0.1, model='VRNN', nlayers=1, save_every=100, version='v2', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 150 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:42346686424128.50781250, 42346686422346.50781250, 1791.62684326
INFO:root:30995.74713542, 29253.02587891, 1742.72125651
INFO:root:30993.71086155, 29250.98956163, 1742.72124837
INFO:root:30993.68236762, 29250.96110026, 1742.72124634
INFO:root:30993.68215061, 29250.96093750, 1742.72124905
INFO:root:30993.68225911, 29250.96093750, 1742.72125041
INFO:root:30993.68222656, 29250.96093750, 1742.72124091
INFO:root:30993.68226997, 29250.96093750, 1742.72124091
INFO:root:30993.68233507, 29250.96093750, 1742.72125719
INFO:root:30993.68215061, 29250.96093750, 1742.72125380
INFO:root:30993.68220486, 29250.96093750, 1742.72124430
INFO:root:30993.68228082, 29250.96093750, 1742.72123481
INFO:root:30993.68226997, 29250.96093750, 1742.72125109
INFO:root:30993.68224826, 29250.96093750, 1742.72125109
INFO:root:30993.68219401, 29250.96093750, 1742.72124837
INFO:root:30993.68229167, 29250.96093750, 1742.72124769
INFO:root:30993.68217231, 29250.96093750, 1742.72124905
INFO:root:30993.68222656, 29250.96093750, 1742.72124837
INFO:root:30993.68221571, 29250.96093750, 1742.72123210
INFO:root:30993.68218316, 29250.96093750, 1742.72124430
INFO:root:30993.68224826, 29250.96093750, 1742.72124430
INFO:root:30993.68211806, 29250.96093750, 1742.72124091
INFO:root:30993.68217231, 29250.96093750, 1742.72123481
INFO:root:30993.68223741, 29250.96093750, 1742.72125041
INFO:root:30993.68230252, 29250.96093750, 1742.72125651
INFO:root:30993.68221571, 29250.96093750, 1742.72124634
INFO:root:30993.68219401, 29250.96093750, 1742.72125515
INFO:root:30993.68223741, 29250.96093750, 1742.72123481
INFO:root:30993.68219401, 29250.96093750, 1742.72124905
INFO:root:30993.68219401, 29250.96093750, 1742.72125854
INFO:root:30993.68224826, 29250.96093750, 1742.72126194
INFO:root:30993.68223741, 29250.96093750, 1742.72124498
